Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL_USD,Reason,Raw_Ret,Cum_PnL,HWM,Drawdown_USD
ETHUSDT,1712649600000,1712651400000,Long,3602.68044,3616.57081,1.8517098202581836,Hybrid_Flip_Bear,0.0038555653856438277,1.8517098202581836,1.8517098202581836,0.0
ETHUSDT,1712652300000,1712655000000,Short,3629.0845500000005,3635.646915,-3.8064618072894767,Hybrid_Flip_Bull,-0.0018082700773668437,-1.954751987031293,1.8517098202581836,-3.8064618072894767
ETHUSDT,1712655900000,1712667600000,Long,3633.87603,3621.438375,-5.419273866918273,Hybrid_Flip_Bear,-0.003422696563481755,-7.374025853949566,1.8517098202581836,-9.22573567420775
ETHUSDT,1712668500000,1712670300000,Short,3622.9176350000002,3597.4378199999996,5.025921577430671,Hybrid_Flip_Bull,0.007032954531962634,-2.348104276518895,1.8517098202581836,-4.199814096777079
ETHUSDT,1712671200000,1712673000000,Short,3603.2074950000006,3529.04364,18.5621494870366,Hybrid_Flip_Bull,0.020582732219255856,16.214045210517703,16.214045210517703,0.0
ETHUSDT,1712673900000,1712678400000,Long,3526.32228,3525.2664850000006,-2.299104597155342,Hybrid_Flip_Bear,-0.0002994040011564987,13.914940613362361,16.214045210517703,-2.299104597155342
ETHUSDT,1712679300000,1712681100000,Short,3522.8476950000004,3501.7399949999995,3.985666746231824,Hybrid_Flip_Bull,0.00599165840463646,17.900607359594186,17.900607359594186,0.0
ETHUSDT,1712682000000,1712714400000,Long,3475.41684,3530.9436450000003,13.961043163674267,Hybrid_Flip_Bear,0.015977020183858125,31.86165052326845,31.86165052326845,0.0
ETHUSDT,1712715300000,1712717100000,Short,3513.0825800000002,3481.69998,6.924133346162435,Hybrid_Flip_Bull,0.00893306641257501,38.78578386943089,38.78578386943089,0.0
ETHUSDT,1712718000000,1712750400000,Long,3489.5939249999997,3515.2514950000004,5.345242163098035,Hybrid_Flip_Bear,0.0073525947578558905,44.13102603252892,44.13102603252892,0.0
ETHUSDT,1712751300000,1712753100000,Short,3517.6602900000003,3443.60094,19.032528598718226,Hybrid_Flip_Bull,0.021053582180899123,63.16355463124715,63.16355463124715,0.0
ETHUSDT,1712754000000,1712772000000,Long,3423.7510199999997,3512.233005,23.81773689110149,Hybrid_Flip_Bear,0.025843580471573063,86.98129152234864,86.98129152234864,0.0
ETHUSDT,1712772900000,1712775600000,Short,3494.9616450000003,3500.7294899999997,-3.6486810844527584,Hybrid_Flip_Bull,-0.0016503314158686272,83.33261043789588,86.98129152234864,-3.648681084452761
ETHUSDT,1712776500000,1712787300000,Long,3507.27276,3552.94264,11.008457922160687,Hybrid_Flip_Bear,0.01302147940156225,94.34106836005657,94.34106836005657,0.0
ETHUSDT,1712788200000,1712808000000,Long,3549.9740999999995,3566.1760200000003,2.559390469919452,Hybrid_Flip_Bear,0.004563954424343796,96.90045882997602,96.90045882997602,0.0
ETHUSDT,1712809800000,1712811600000,Long,3563.3607899999997,3569.8441850000004,-0.18235873752187315,Hybrid_Flip_Bear,0.001819460723201328,96.71810009245415,96.90045882997602,-0.1823587375218665
ETHUSDT,1712812500000,1712819700000,Long,3564.1912049999996,3594.72174,6.557342384497671,Hybrid_Flip_Bear,0.008565908292790463,103.27544247695182,103.27544247695182,0.0
ETHUSDT,1712821500000,1712826000000,Long,3587.2027049999997,3598.41989,1.1238735963766584,Hybrid_Flip_Bear,0.003127000596973632,104.39931607332848,104.39931607332848,0.0
ETHUSDT,1712826900000,1712831400000,Short,3591.4633700000004,3568.2632399999998,4.453338787637593,Hybrid_Flip_Bull,0.006459798586223817,108.85265486096607,108.85265486096607,0.0
ETHUSDT,1712832300000,1712833200000,Long,3566.012115,3561.97812,-3.1301030044312617,Hybrid_Flip_Bear,-0.0011312342386699315,105.7225518565348,108.85265486096607,-3.1301030044312625
ETHUSDT,1712834100000,1712835900000,Short,3559.009605,3526.612425,7.09376102119297,Hybrid_Flip_Bull,0.009102863885078048,112.81631287772778,112.81631287772778,0.0
ETHUSDT,1712836800000,1712840400000,Long,3537.06765,3564.9466350000002,5.874066535029458,Hybrid_Flip_Bear,0.00788194848351297,118.69037941275724,118.69037941275724,0.0
ETHUSDT,1712841300000,1712842200000,Short,3556.40091,3509.2437449999998,11.246540259995626,Hybrid_Flip_Bull,0.013259800060055681,129.93691967275288,129.93691967275288,0.0
ETHUSDT,1712843100000,1712844000000,Long,3530.0541449999996,3511.68328,-7.198927093227182,Hybrid_Flip_Bear,-0.005204131224451633,122.7379925795257,129.93691967275288,-7.198927093227184
ETHUSDT,1712844900000,1712845800000,Long,3500.419335,3504.336955,-0.8819332755742051,Hybrid_Flip_Bear,0.001119185910336131,121.8560593039515,129.93691967275288,-8.080860368801382
ETHUSDT,1712846700000,1712847600000,Short,3493.8821850000004,3504.3513,-4.993416873041877,Hybrid_Flip_Bull,-0.0029964132863282045,116.86264243090962,129.93691967275288,-13.074277241843262
ETHUSDT,1712848500000,1712869200000,Long,3500.0891699999997,3522.907665,4.5128845003113,Hybrid_Flip_Bear,0.006519403904215515,121.37552693122092,129.93691967275288,-8.56139274153196
ETHUSDT,1712870100000,1712888100000,Long,3507.07266,3528.235,4.028155019748098,Hybrid_Flip_Bear,0.0060341892089570545,125.40368195096902,129.93691967275288,-4.533237721783863
ETHUSDT,1712889900000,1712898000000,Long,3524.0011199999994,3545.2364950000006,4.01990149906681,Hybrid_Flip_Bear,0.006025927426493303,129.42358345003584,129.93691967275288,-0.5133362227170437
ETHUSDT,1712898900000,1712902500000,Short,3545.46638,3535.4068199999997,0.8344650217780791,Hybrid_Flip_Bull,0.002837302324102181,130.2580484718139,130.2580484718139,0.0
ETHUSDT,1712903400000,1712905200000,Long,3536.72748,3534.6318,-2.5919552274918005,Hybrid_Flip_Bear,-0.0005925477752670676,127.66609324432211,130.2580484718139,-2.5919552274917947
ETHUSDT,1712906100000,1712907900000,Short,3534.341945,3520.5493949999995,1.8985354740486415,Hybrid_Flip_Bull,0.003902437911960602,129.56462871837076,130.2580484718139,-0.6934197534431519
ETHUSDT,1712908800000,1712923200000,Long,3529.313775,3526.3859250000005,-2.828750951734117,Hybrid_Flip_Bear,-0.0008295805322663838,126.73587776663663,130.2580484718139,-3.522170705177274
ETHUSDT,1712924100000,1712925000000,Short,3520.9886250000004,3497.137695,4.767155934791045,Hybrid_Flip_Bull,0.006773929864655702,131.50303370142768,131.50303370142768,0.0
ETHUSDT,1712925900000,1712926800000,Long,3501.8100299999996,3491.6133200000004,-4.908928012294048,Hybrid_Flip_Bear,-0.0029118398521461937,126.59410568913364,131.50303370142768,-4.908928012294041
ETHUSDT,1712927700000,1712928600000,Short,3477.8602,3459.3087899999996,3.328810683649816,Hybrid_Flip_Bull,0.0053341448284782945,129.92291637278345,131.50303370142768,-1.580117328644235
ETHUSDT,1712929500000,1712934000000,Short,3463.6872900000003,3448.22325,2.4601532028026387,Hybrid_Flip_Bull,0.004464617820623263,132.3830695755861,132.3830695755861,0.0
