Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL_USD,Reason,Cum_PnL,HWM,Drawdown_USD,equity,returns
BTC/USDT,2024-06-01 21:00:00,2024-06-02 00:00:00,Short,67718.92360000001,67824.39525,-3.5559340395362136,AI_Flip_Bull,-3.5559340395362136,-3.5559340395362136,0.0,996.4440659604638,0.0
ETH/USDT,2024-06-01 21:00:00,2024-06-02 02:00:00,Long,3810.954525,3822.417835,1.0049811969351938,AI_Flip_Bear,-2.5509528426010197,-2.5509528426010197,0.0,997.449047157399,0.0010085675967836938
ETH/USDT,2024-06-02 02:15:00,2024-06-02 04:00:00,Short,3814.521785,3809.88399,-0.7853897641326233,AI_Flip_Bull,-3.336342606733643,-2.5509528426010197,-0.7853897641326233,996.6636573932664,-0.0007873983802690887
ETH/USDT,2024-06-02 04:15:00,2024-06-02 07:00:00,Long,3813.2356649999997,3811.2934,-2.508838924593369,AI_Flip_Bear,-5.845181531327012,-2.5509528426010197,-3.294228688725992,994.1548184686729,-0.002517237290617369
BTC/USDT,2024-06-02 00:15:00,2024-06-02 07:00:00,Long,67863.7149,67800.4828,-2.9308194812660977,AI_Flip_Bear,-8.77600101259311,-2.5509528426010197,-6.22504816999209,991.2239989874068,-0.0029480513767267125
ETH/USDT,2024-06-02 07:15:00,2024-06-02 11:00:00,Short,3804.087005,3783.19065,3.4876396406185397,AI_Flip_Bull,-5.28836137197457,-2.5509528426010197,-2.7374085293735506,994.7116386280254,0.0035185181595496218
BTC/USDT,2024-06-02 07:15:00,2024-06-02 11:00:00,Short,67740.3129,67612.98959999999,-0.1223001303848692,AI_Flip_Bull,-5.4106615023594395,-2.5509528426010197,-2.85970865975842,994.5893384976406,-0.0001229503361933615
ETH/USDT,2024-06-02 11:15:00,2024-06-02 12:00:00,Long,3786.1121099999996,3800.888605,1.8989121494874395,AI_Flip_Bear,-3.511749352872,-2.5509528426010197,-0.9607965102709803,996.488250647128,0.001909242413915102
BTC/USDT,2024-06-02 11:15:00,2024-06-02 12:00:00,Long,67696.53134999999,68156.20485000001,4.783417367809038,AI_Flip_Bear,1.2716680149370383,1.2716680149370383,0.0,1001.2716680149371,0.0048002747294839665
BTC/USDT,2024-06-02 12:15:00,2024-06-02 13:00:00,Short,68095.935,68018.89244999998,-0.869748870472036,AI_Flip_Bull,0.4019191444650023,1.2716680149370383,-0.869748870472036,1000.401919144465,-0.0008686442433714081
BTC/USDT,2024-06-02 13:15:00,2024-06-02 17:00:00,Long,68142.05399999999,68042.5617,-3.4586118537017327,AI_Flip_Bear,-3.0566927092367306,1.2716680149370383,-4.328360724173769,996.9433072907633,-0.0034572223298605653
ETH/USDT,2024-06-02 12:15:00,2024-06-02 19:15:00,Short,3796.101,3769.56384,4.9836452823569015,AI_Flip_Bull,1.9269525731201709,1.9269525731201709,0.0,1001.9269525731202,0.004998925461368708
BTC/USDT,2024-06-02 17:15:00,2024-06-03 01:00:00,Short,67951.40729999999,68218.09199999999,-5.920713725968675,AI_Flip_Bull,-3.9937611528485037,1.9269525731201709,-5.920713725968675,996.0062388471515,-0.005909326733613884
BTC/USDT,2024-06-03 01:15:00,2024-06-03 02:00:00,Long,68297.1315,68699.53305,3.886032687185333,AI_Flip_Bear,-0.10772846566317096,1.9269525731201709,-2.034681038783342,999.8922715343368,0.0039016148048263144
BTC/USDT,2024-06-03 02:15:00,2024-06-03 06:00:00,Short,68631.46710000001,68913.73965,-6.108760738556239,AI_Flip_Bull,-6.2164892042194095,1.9269525731201709,-8.14344177733958,993.7835107957806,-0.006109418896880103
BTC/USDT,2024-06-03 06:15:00,2024-06-03 14:00:00,Long,69183.07424999999,70065.5497,10.742899677517766,AI_Flip_Bear,4.526410473298356,4.526410473298356,0.0,1004.5264104732984,0.010810100550888935
ETH/USDT,2024-06-02 19:30:00,2024-06-03 14:00:00,Long,3781.8699899999997,3832.0929950000004,11.266659649238957,AI_Flip_Bear,15.793070122537312,15.793070122537312,0.0,1015.7930701225373,0.011215891918591181
BTC/USDT,2024-06-03 14:15:00,2024-06-03 15:00:00,Short,69821.072,69223.69455,6.547277425789165,AI_Flip_Bull,22.340347548326477,22.340347548326477,0.0,1022.3403475483265,0.0064454834536322725
ETH/USDT,2024-06-03 14:15:00,2024-06-03 15:00:00,Short,3808.97456,3784.9915499999997,4.2901514863360966,AI_Flip_Bull,26.630499034662574,26.630499034662574,0.0,1026.6304990346625,0.00419640239830521
ETH/USDT,2024-06-03 15:15:00,2024-06-04 08:00:00,Long,3788.27319,3776.420845,-5.125564620380451,AI_Flip_Bear,21.504934414282122,26.630499034662574,-5.125564620380452,1021.5049344142822,-0.004992608952490651
ETH/USDT,2024-06-04 08:15:00,2024-06-04 10:00:00,Short,3775.761175,3757.29771,2.885108109360298,AI_Flip_Bull,24.39004252364242,26.630499034662574,-2.2404565110201524,1024.3900425236425,0.0028243702131645065
XRP/USDT,2024-06-01 23:00:00,2024-06-05 08:15:00,Short,0.5195401000000001,0.53116545,-24.353856131605582,SL_Hit,0.036186392036839266,26.630499034662574,-26.594312642625734,1000.0361863920368,-0.023774007087777438
BTC/USDT,2024-06-03 15:15:00,2024-06-05 13:00:00,Long,69208.68705000001,71026.36905,24.237520106227556,AI_Flip_Bear,24.273706498264396,26.630499034662574,-2.356792536398178,1024.2737064982643,0.02423664306955975
ETH/USDT,2024-06-04 10:15:00,2024-06-05 13:00:00,Long,3761.449785,3813.7421750000003,11.888287919813482,AI_Flip_Bear,36.16199441807788,36.16199441807788,0.0,1036.161994418078,0.01160655383848197
BTC/USDT,2024-06-05 13:15:00,2024-06-05 14:00:00,Short,71130.21710000001,70535.25,6.356113015434742,AI_Flip_Bull,42.518107433512625,42.518107433512625,0.0,1042.5181074335126,0.006134285034266496
ETH/USDT,2024-06-05 13:15:00,2024-06-05 15:00:00,Short,3814.9315800000004,3805.16163,0.5584154906391099,AI_Flip_Bull,43.07652292415173,43.07652292415173,0.0,1043.0765229241517,0.0005356410470547246
BTC/USDT,2024-06-05 14:15:00,2024-06-05 16:00:00,Long,70815.1899,71650.45685,9.783230183076933,AI_Flip_Bear,52.85975310722866,52.85975310722866,0.0,1052.8597531072287,0.009379206575995669
BTC/USDT,2024-06-05 16:15:00,2024-06-05 19:00:00,Short,71653.75520000001,71013.98925,6.919646740998933,AI_Flip_Bull,59.7793998482276,59.7793998482276,0.0,1059.7793998482275,0.0065722397694254475
ETH/USDT,2024-06-05 15:15:00,2024-06-06 12:15:00,Long,3820.6293599999995,3860.80863,8.50588448862272,AI_Flip_Bear,68.28528433685031,68.28528433685031,0.0,1068.2852843368503,0.008026089665302827
BTC/USDT,2024-06-05 19:15:00,2024-06-06 13:30:00,Long,71016.99075,71511.72625,4.959472082390506,AI_Flip_Bear,73.24475641924082,73.24475641924082,0.0,1073.2447564192407,0.004642460356897082
BTC/USDT,2024-06-06 13:45:00,2024-06-06 14:00:00,Short,71127.91825,71259.612,-3.8496542495111092,AI_Flip_Bull,69.39510216972971,73.24475641924082,-3.8496542495111044,1069.3951021697296,-0.0035869304056560525
ETH/USDT,2024-06-06 12:30:00,2024-06-06 14:00:00,Short,3850.074,3841.7299049999997,0.165088490507034,AI_Flip_Bull,69.56019066023674,73.24475641924082,-3.684565759004073,1069.5601906602367,0.0001543755812720704
ETH/USDT,2024-06-06 14:15:00,2024-06-06 16:00:00,Long,3844.82145,3847.545265,-1.2922711183375535,AI_Flip_Bear,68.26791954189919,73.24475641924082,-4.976836877341626,1068.2679195418991,-0.0012082266427099198
BTC/USDT,2024-06-06 14:15:00,2024-06-06 19:00:00,Long,71270.2173,70899.5325,-7.195916740947031,AI_Flip_Bear,61.072002800952156,73.24475641924082,-12.17275361828866,1061.072002800952,-0.006736059942746286
ETH/USDT,2024-06-06 16:15:00,2024-06-06 20:00:00,Short,3849.2744000000002,3784.701405,14.75859273763399,AI_Flip_Bull,75.83059553858615,75.83059553858615,0.0,1075.830595538586,0.013909134063169404
BTC/USDT,2024-06-06 19:15:00,2024-06-06 20:00:00,Short,70946.80885,70488.0264,4.460102645617426,AI_Flip_Bull,80.29069818420358,80.29069818420358,0.0,1080.2906981842036,0.004145729508078011
ETH/USDT,2024-06-06 20:15:00,2024-06-07 12:00:00,Long,3794.9765399999997,3835.6312250000005,8.702050430857442,AI_Flip_Bear,88.99274861506102,88.99274861506102,0.0,1088.992748615061,0.008055285901733766
BTC/USDT,2024-06-06 20:15:00,2024-06-07 12:00:00,Long,70655.20994999999,71888.23790000001,15.433886657780967,AI_Flip_Bear,104.42663527284199,104.42663527284199,0.0,1104.426635272842,0.014172625738242406
BTC/USDT,2024-06-07 12:15:00,2024-06-07 13:00:00,Short,71950.10695000002,71269.617,7.448345372473657,AI_Flip_Bull,111.87498064531565,111.87498064531565,0.0,1111.8749806453156,0.006744083431701631
BTC/USDT,2024-06-07 13:15:00,2024-06-07 16:15:00,Long,71451.708,71178.9927,-5.812961121937018,AI_Flip_Bear,106.06201952337862,111.87498064531565,-5.812961121937022,1106.0620195233787,-0.00522807080213572
ETH/USDT,2024-06-07 12:15:00,2024-06-07 18:00:00,Short,3837.490295,3615.917055,55.681361969411874,TP_Hit,161.7433814927905,161.7433814927905,0.0,1161.7433814927904,0.05034198895411457
XRP/USDT,2024-06-06 19:00:00,2024-06-07 18:00:00,Short,0.5219389,0.45512745,125.87826036725752,TP_Hit,287.62164186004804,287.62164186004804,0.0,1287.621641860048,0.1083528964938103
BTC/USDT,2024-06-07 16:30:00,2024-06-07 18:00:00,Short,71050.55695000001,68577.2715,32.775408816130465,AI_Flip_Bull,320.39705067617854,320.39705067617854,0.0,1320.3970506761784,0.025454223314221647
BTC/USDT,2024-06-07 18:15:00,2024-06-07 18:30:00,Long,69115.5405,69233.46595000001,-0.2954987590669318,AI_Flip_Bear,320.1015519171116,320.39705067617854,-0.2954987590669589,1320.1015519171115,-0.00022379537951533468
XRP/USDT,2024-06-07 18:15:00,2024-06-07 20:45:00,Long,0.47973974999999996,0.5011493,42.58279817338475,TP_Hit,362.6843500904963,362.6843500904963,0.0,1362.6843500904963,0.03225721393293135
BTC/USDT,2024-06-07 18:45:00,2024-06-08 07:00:00,Short,69151.90675000001,69459.61244999999,-6.445256953091562,AI_Flip_Bull,356.2390931374047,362.6843500904963,-6.445256953091587,1356.2390931374048,-0.004729823860282423
ETH/USDT,2024-06-07 18:15:00,2024-06-08 13:15:00,Short,3667.3554050000002,3674.946555,-4.067854901562163,AI_Flip_Bull,352.17123823584257,362.6843500904963,-10.513111854653744,1352.1712382358426,-0.0029993641402504823
ETH/USDT,2024-06-08 13:30:00,2024-06-09 02:00:00,Long,3687.0225899999996,3677.22047,-4.655887681989867,AI_Flip_Bear,347.5153505538527,362.6843500904963,-15.168999536643582,1347.5153505538528,-0.003443267797992977
ETH/USDT,2024-06-09 02:15:00,2024-06-09 11:00:00,Short,3674.5218200000004,3689.3637599999997,-6.035109542498059,AI_Flip_Bull,341.4802410113547,362.6843500904963,-21.20410907914163,1341.4802410113548,-0.004478694465348765
ETH/USDT,2024-06-09 11:15:00,2024-06-09 13:00:00,Long,3692.40528,3699.84915,0.013978847414079176,AI_Flip_Bear,341.49421985876876,362.6843500904963,-21.19013023172755,1341.4942198587687,1.0420464637839189e-05
BTC/USDT,2024-06-08 07:15:00,2024-06-09 13:00:00,Long,69560.3628,69641.66175,-0.832414786514071,AI_Flip_Bear,340.6618050722547,362.6843500904963,-22.0225450182416,1340.6618050722548,-0.0006205131369120265
ETH/USDT,2024-06-09 13:15:00,2024-06-09 21:00:00,Short,3690.144005,3703.981065,-5.745984688204556,AI_Flip_Bull,334.91582038405016,362.6843500904963,-27.768529706446145,1334.9158203840502,-0.004285931520138231
ETH/USDT,2024-06-09 21:15:00,2024-06-09 22:00:00,Long,3704.5513499999997,3713.8521450000003,0.5081294135659804,AI_Flip_Bear,335.42394979761616,362.6843500904963,-27.26040029288015,1335.4239497976162,0.0003806452854979714
BTC/USDT,2024-06-09 13:15:00,2024-06-10 04:00:00,Short,69485.53985,69630.09765,-4.078320791804211,AI_Flip_Bull,331.34562900581193,362.6843500904963,-31.33872108468438,1331.345629005812,-0.003053952111928382
ETH/USDT,2024-06-09 22:15:00,2024-06-10 04:00:00,Short,3709.5443000000005,3685.78197,4.399321790010831,AI_Flip_Bull,335.7449507958228,362.6843500904963,-26.939399294673535,1335.7449507958227,0.0033044174962257866
ETH/USDT,2024-06-10 04:15:00,2024-06-10 07:00:00,Long,3691.20468,3670.04406,-7.72698108412662,AI_Flip_Bear,328.01796971169614,362.6843500904963,-34.66638037880017,1328.0179697116962,-0.00578477281873524
ETH/USDT,2024-06-10 07:15:00,2024-06-10 08:00:00,Short,3671.513325,3665.8520099999996,-0.4595851398686437,AI_Flip_Bull,327.5583845718275,362.6843500904963,-35.12596551866881,1327.5583845718274,-0.00034606846469742436
XRP/USDT,2024-06-08 15:00:00,2024-06-10 15:45:00,Short,0.49455260000000006,0.5048523,-22.805472056966167,SL_Hit,304.75291251486135,362.6843500904963,-57.93143757563496,1304.7529125148612,-0.01717850779445873
ETH/USDT,2024-06-10 08:15:00,2024-06-10 18:00:00,Long,3674.3562599999996,3697.7502,4.360446403746485,AI_Flip_Bear,309.11335891860784,362.6843500904963,-53.570991171888465,1309.113358918608,0.00334197100609801
BTC/USDT,2024-06-10 04:15:00,2024-06-10 18:00:00,Long,69692.92905,70072.84605,3.4458477807367567,AI_Flip_Bear,312.5592066993446,362.6843500904963,-50.12514339115171,1312.5592066993445,0.0026321996924567603
BTC/USDT,2024-06-10 18:15:00,2024-06-10 20:00:00,Short,69860.95204999999,69435.40035,4.085318562445734,AI_Flip_Bull,316.6445252617903,362.6843500904963,-46.039824828706,1316.6445252617902,0.0031124832629219057
ETH/USDT,2024-06-10 18:15:00,2024-06-10 20:00:00,Short,3685.226465,3655.16667,6.148681089263839,AI_Flip_Bull,322.79320635105415,362.6843500904963,-39.89114373944216,1322.793206351054,0.004669962902888569
ETH/USDT,2024-06-10 20:15:00,2024-06-11 01:00:00,Long,3670.144155,3669.434365,-2.19320227763639,AI_Flip_Bear,320.6000040734178,362.6843500904963,-42.08434601707853,1320.6000040734177,-0.0016580084227121317
BTC/USDT,2024-06-10 20:15:00,2024-06-11 01:00:00,Long,69659.71244999999,69500.6323,-4.2813914134954825,AI_Flip_Bear,316.3186126599223,362.6843500904963,-46.36573743057403,1316.3186126599223,-0.0032420046950547565
ETH/USDT,2024-06-11 01:15:00,2024-06-11 08:00:00,Short,3667.48534,3510.53439,40.75245420612925,TP_Hit,357.0710668660515,362.6843500904963,-5.6132832244447854,1357.0710668660515,0.030959415003469104
ETH/USDT,2024-06-11 08:15:00,2024-06-11 15:00:00,Long,3526.272255,3523.647295,-2.7436564310317686,AI_Flip_Bear,354.3274104350198,362.6843500904963,-8.356939655476538,1354.3274104350198,-0.002021748527413325
XRP/USDT,2024-06-11 01:00:00,2024-06-11 15:30:00,Short,0.49525225,0.47333654999999997,42.20733939118911,TP_Hit,396.5347498262089,396.5347498262089,0.0,1396.534749826209,0.03116479742341771
BTC/USDT,2024-06-11 01:15:00,2024-06-11 15:30:00,Short,69443.4609,66146.2566,45.43293397262134,TP_Hit,441.96768379883025,441.96768379883025,0.0,1441.9676837988302,0.032532619742025704
ETH/USDT,2024-06-11 15:15:00,2024-06-11 17:15:00,Short,3511.74325,3443.98113,17.276568091929803,AI_Flip_Bull,459.24425189076004,459.24425189076004,0.0,1459.24425189076,0.011981244993240825
ETH/USDT,2024-06-11 17:30:00,2024-06-12 12:30:00,Long,3448.22325,3632.66276,51.434785723343225,TP_Hit,510.67903761410327,510.67903761410327,0.0,1510.6790376141032,0.03524755068022256
BTC/USDT,2024-06-11 15:45:00,2024-06-12 12:30:00,Long,66299.133,69383.19105,44.470803652138144,TP_Hit,555.1498412662414,555.1498412662414,0.0,1555.1498412662413,0.029437625428610614
XRP/USDT,2024-06-12 11:00:00,2024-06-12 12:45:00,Short,0.48325825,0.4934466,-23.061537283636675,SL_Hit,532.0883039826048,555.1498412662414,-23.061537283636653,1532.0883039826049,-0.014829141650337108
ETH/USDT,2024-06-12 12:45:00,2024-06-12 13:00:00,Long,3640.8194999999996,3636.1210300000002,-3.2892074243173446,AI_Flip_Bear,528.7990965582874,555.1498412662414,-26.35074470795405,1528.7990965582874,-0.002146878489815096
